Package,LibPath,Version,Priority
tinytex,C:/Program Files/R/R-3.4.0/library,0.8,NA
tools,C:/Program Files/R/R-3.4.0/library,3.4.0,base
translations,C:/Program Files/R/R-3.4.0/library,3.4.0,NA
usethis,C:/Program Files/R/R-3.4.0/library,1.4.0,NA
utf8,C:/Program Files/R/R-3.4.0/library,1.1.4,NA
utils,C:/Program Files/R/R-3.4.0/library,3.4.0,base
viridisLite,C:/Program Files/R/R-3.4.0/library,0.3.0,NA
whisker,C:/Program Files/R/R-3.4.0/library,0.3-2,NA
withr,C:/Program Files/R/R-3.4.0/library,2.1.2,NA
xfun,C:/Program Files/R/R-3.4.0/library,0.3,NA
xlsx,C:/Program Files/R/R-3.4.0/library,0.5.7,NA
xlsxjars,C:/Program Files/R/R-3.4.0/library,0.6.1,NA
xml2,C:/Program Files/R/R-3.4.0/library,1.2.0,NA
xtable,C:/Program Files/R/R-3.4.0/library,1.8-2,NA
yaml,C:/Program Files/R/R-3.4.0/library,2.1.16,NA
zoo,C:/Program Files/R/R-3.4.0/library,1.8-3,NA
